call_letters,network,location
WPVI-TV,6.1ABC,"Philadelphia, Pennsylvania"
,6.2LWN,
,6.3LWN,
WPWR-TV,MyNetworkTV,"Gary, Indiana"
WPXA-TV,ION Television,"Rome, Georgia"
WPXC-TV,ION Television,"Brunswick, Georgia"
WPXD-TV,ION Television,"Ann Arbor, Michigan"
WPXE-TV,ION Television,"Kenosha, Wisconsin"
WPXG-TV,ION Television,"Concord, New Hampshire"
WPXH-TV,ION Television,"Gadsden, Alabama"
WPXI,11.1NBC,"Pittsburgh, Pennsylvania"
,11.2Me-TV,
WPXJ-TV,ION Television,"Batavia, New York"
WPXK-TV,ION Television,"Jellico, Tennessee"
WPXL-TV,ION Television,"New Orleans, Louisiana"
WPXM-TV,ION Television,"Miami, Florida"
WPXN-TV,ION Television,"New York, New York"
WPXP-TV,ION Television,"Lake Worth, Florida"
WPXQ-TV,ION Television,"Block Island, Rhode Island"
WPXR-TV,ION Television,"Roanoke, Virginia"
WPXS,Daystar,"Mount Vernon, Illinois"
WPXT,51.1The CW,"Portland, Maine"
,43.2Me-TV,
WPXU-TV,ION Television,"Jacksonville, North Carolina"
WPXV-TV,ION Television,"Norfolk, Virginia"
WPXW-TV,ION Television,"Manassas, Virginia"
WPXX-TV,ION Television,"Memphis, Tennessee"
,,
WQ[edit],,
,,
Call letters,Network(s),City and state
WQAD-TV,8.1ABC,"Moline, Illinois"
,38.2Weather,
,8.3WBQD-LP,
WQCW,The CW,"Portsmouth, Ohio"
WQEC,PBS,"Quincy, Illinois"
WQED,PBS,"Pittsburgh, Pennsylvania"
WQHA,50.1 OptimaVision,"Aguada, Puerto Rico"
,50.2 WUJA,
,50.3 AERCO Broadcasting Network,
,50.4 WNVM,
WQHS-DT,Univisión,"Cleveland, Ohio"
WQLN,54.1 PBS,"Erie, Pennsylvania"
,54.2 Create,
,54.3 World,
WQMY,MyNetworkTV,"Williamsport, Pennsylvania"
WQOW,18.1ABC,"Eau Claire, Wisconsin"
,15.2The CW,
,15.3This TV,
WQPT-TV,PBS,"Moline, Illinois"
WQPX-TV,ION Television,"Scranton, Pennsylvania"
WQRF-TV,39.1Fox,"Rockford, Illinois"
,42.2Bounce TV,
WQTO,PBS,"Ponce, Puerto Rico"
,,
WR[edit],,
,,
Call letters,Network(s),City and state
WRAL-TV,5.1 NBC,"Raleigh, North Carolina"
,5.2 Heroes & Icons,
WRAY-TV,TCT,"Wilson, North Carolina"
WRAZ,50.1Fox,"Raleigh, North Carolina"
,50.2MeTV,
WRBJ-TV,TBN,"Magee, Mississippi"
WRBL,3.1CBS,"Columbus, Georgia"
,15.2MeTV,
WRBU,Ion Television,"St. Louis, Missouri"
WRBW,MyNetworkTV,"Orlando, Florida"
WRC-TV,4.1NBC,"Washington, District of Columbia"
WRCB,3.1NBC,"Chattanooga, Tennessee"
WRDC,MyNetworkTV,"Durham, North Carolina"
WRDQ,27.1Independent,"Orlando, Florida"
WRDW-TV,12.1CBS,"Augusta, Georgia"
,12.2MyNetworkTV,
WREG-TV,CBS,"Memphis, Tennessee"
WRET-TV,PBS,"Spartanburg, South Carolina"
WREX,13.1NBC,"Rockford, Illinois"
,13.2The CW,
WRFB,Telemicro Internacional,"Carolina, Puerto Rico"
WRGB,6.1CBS,"Schenectady, New York"
,6.2This TV,
WRGT-TV,45.1Fox,"Dayton, Ohio"
,30.2MyNetworkTV/This TV,
WRIC-TV,ABC,"Petersburg, Virginia"
WRJA-TV,PBS,"Sumter, South Carolina"
WRLH-TV,35.1Fox,"Richmond, Virginia"
,26.2MyNetworkTV/This TV,
WRLK-TV,PBS,"Columbia, South Carolina"
WRLM,TCT,"Canton, Ohio"
WRNN-TV,Independent,"Kingston, New York"
WROC-TV,8.1CBS,"Rochester, New York"
,45.2Bounce TV,
WRPT,31.1 PBS,"Hibbing, Minnesota"
,31.2 PBS Satellite Service,
,31.3 Create,
,31.4 Minnesota Channel,
WRPX-TV,ION Television,"Rocky Mount, North Carolina"
WRSP-TV,55.1Fox,"Springfield, Illinois"
,44.2Me TV,
WRTV,6.1ABC,"Indianapolis, Indiana"
,25.2Hometown Sports,
WRUA,Independent,"Fajardo, Puerto Rico"
WRXY-TV,CTN,"Tice, Florida"
,,
WS[edit],,
,,
Call letters,Network(s),City and state
WSAV-TV,3.1NBC,"Savannah, Georgia"
,3.2MyNetworkTV/Me-TV,
WSAW-TV,7.1CBS,"Wausau, Wisconsin"
,7.2MyNetworkTV,
WSAZ-TV,3.1NBC,"Huntington, West Virginia"
,23.2MyNetworkTV/This TV,
WSB-TV,2.1ABC,"Atlanta, Georgia"
,2.2Me-TV,
WSBE-TV,PBS,"Providence, Rhode Island"
WSBK-TV,MyNetworkTV,"Boston, Massachusetts"
WSBS-TV,Mega TV,"Key West, Florida"
WSBT-TV,22.1CBS,"South Bend, Indiana"
,22.2 Independent,
WSCV,Telemundo,"Fort Lauderdale, Florida"
WSEC,PBS,"Jacksonville, Illinois"
WSEE-TV,35.1CBS,"Erie, Pennsylvania"
,35.2The CW,
WSES,ABC,"Tuscaloosa, Alabama"
WSET-TV,13.1ABC,"Lynchburg, Virginia"
,13.2RTV,
WSFA,12.1NBC,"Montgomery, Alabama"
,12.2 Bounce TV,
WSFJ-TV,TBN,"Newark, Ohio"
WSFL-TV,The CW,"Miami, Florida"
WSFX-TV,26.1Fox,"Wilmington, North Carolina"
,30.2This TV,
WSIL-TV,ABC,"Harrisburg, Illinois"
WSIU-TV,PBS,"Carbondale, Illinois"
WSJU-TV,Independent,"San Juan, Puerto Rico"
WSJV,Fox,"Elkhart, Indiana"
WSKA,PBS,"Corning, New York"
WSKG-TV,PBS,"Binghamton, New York"
WSKY-TV,Independent,"Manteo, North Carolina"
WSLS-TV,10.1NBC,"Roanoke, Virginia"
,30.3Me-TV,
WSMH,Fox,"Flint, Michigan"
WSMV-TV,NBC,"Nashville, Tennessee"
WSNS-TV,Telemundo,"Chicago, Illinois"
WSOC-TV,ABC,"Charlotte, North Carolina"
WSPA-TV,7.1CBS,"Spartanburg, South Carolina"
,7.2Me-TV,
WSPX-TV,ION Television,"Syracuse, New York"
WSRE,PBS,"Pensacola, Florida"
WSST-TV,Independent,"Cordele, Georgia"
WSTE-DT,Independent,"Ponce, Puerto Rico"
WSTM-TV,3.1NBC,"Syracuse, New York"
,14.2WSTQ-LP,
WSTR-TV,64.1MyNetworkTV,"Cincinnati, Ohio"
WSUR-DT,Univisión,"Ponce, Puerto Rico"
,,
WSVI,ABC,"Christiansted, U.S. Virgin Islands"
WSVN,Fox,"Miami, Florida"
WSWB,The CW,"Scranton, Pennsylvania"
WSWG,44.1CBS,"Valdosta, Georgia"
,43.2MyNetworkTV,
,44.3The CW,
WSWP-TV,PBS,"Grandview, West Virginia"
WSYM-TV,47.1Fox,"Lansing, Michigan"
,38.2MeTV,
WSYR-TV,9.1ABC,"Syracuse, New York"
,9.2Me-TV,
WSYT,Fox,"Syracuse, New York"
WSYX,6.1ABC,"Columbus, Ohio"
,13.2MyNetworkTV,
,,
WT[edit],,
,,
Call letters,Network(s),City and state
WTAE-TV,4.1ABC,"Pittsburgh, Pennsylvania"
,51.2This TV,
WTAJ-TV,CBS,"Altoona, Pennsylvania"
WTAP-TV,15.1NBC,"Parkersburg, West Virginia"
WTAT-TV,Fox,"Charleston, South Carolina"
WTBY-TV,TBN,"Poughkeepsie, New York"
WTCE-TV,TBN,"Fort Pierce, Florida"
WTCI,PBS,"Chattanooga, Tennessee"
WTCT,TCT,"Marion, Illinois"
WTCV,Music videos,"San Juan, Puerto Rico"
WTEN,10.1ABC,"Albany, New York"
WTGL,TLN/FamilyNet/LeSEA/Worship,"Leesburg, Florida"
WTGS,Fox,"Hardeeville, South Carolina"
WTHI-TV,10.1CBS,"Terre Haute, Indiana"
,10.2Fox/MyNetworkTV,
WTHR,13.1NBC,"Indianapolis, Indiana"
,46.2WALV-CD,
,13.3Me-TV,
WTIC-TV,Fox,"Hartford, Connecticut"
WTIN-TV,Independent,"Ponce, Puerto Rico"
WTIU,PBS,"Bloomington, Indiana"
WTJP-TV,TBN,"Gadsden, Alabama"
WTJR,CTN,"Quincy, Illinois"
WTJX-TV,12.1 PBS,"Charlotte Amalie, Virgin Islands"
,12.2 PBS Kids,
,12.3 Encore,
,12.4 WTJX Education,
WTKR,CBS,"Norfolk, Virginia"
WTLF,The CW,"Tallahassee, Florida"
WTLH,49.1Fox,"Bainbridge, Georgia"
,49.3Me-TV,
WTLJ,TCT,"Muskegon, Michigan"
WTLV,NBC,"Jacksonville, Florida"
WTLW,Religious Independent,"Lima, Ohio"
WTMJ-TV,NBC,"Milwaukee, Wisconsin"
WTNH,8.1ABC,"New Haven, Connecticut"
,10.2Bounce TV,
WTNZ,43.1Fox,"Knoxville, Tennessee"
,34.2This TV,
WTOC-TV,CBS,"Savannah, Georgia"
WTOG,The CW,"Tampa, Florida"
WTOK-TV,11.1ABC,"Meridian, Mississippi"
,11.2MyNetworkTV,
,11.3The CW,
WTOL,11.1CBS,"Toledo, Ohio"
,11.2MeTV,
WTOM-TV,4.1NBC,"Cheboygan, Michigan"
,35.2ABC,
WTOV-TV,9.1 NBC,"Steubenville, Ohio"
,9.2 Fox,
,9.3 MeTV,
WTPC-TV,TBN,"Virginia Beach, Virginia"
WTPX-TV,ion Television,"Antigo, Wisconsin"
WTRF-TV,7.1 CBS,"Wheeling, West Virginia"
,7.2 MyNetworkTV,
,7.3 ABC,
,7.4 Escape,
WTSF,Daystar,"Ashland, Kentucky"
WTSP,CBS,"St. Petersburg, Florida"
WTTA,38.1MyNetworkTV,"St. Petersburg, Florida"
WTTE,28.1Fox,"Columbus, Ohio"
WTTG,Fox,"Washington, District of Columbia"
WTTK,29.1 CBS,"Kokomo, Indiana"
,29.2 independent,
,29.3 Comet,
WTTO,The CW,"Homewood, Alabama"
WTTV,4.1 CBS,"Bloomington, Indiana"
,4.2 independent,
,4.3 Comet,
WTTW,PBS,"Chicago, Illinois"
WTVA,9.1NBC,"Tupelo, Mississippi"
,8.2ABC,
WTVC,9.1ABC,"Chattanooga, Tennessee"
,9.2This TV,
WTVD,ABC,"Durham, North Carolina"
WTVE,51.1Religious Independent/infomercials,"Reading, Pennsylvania"
WTVF,5.1CBS,"Nashville, Tennessee"
,5.2 NewsChannel 5+,
,5.3 This TV,
WTVG,13.1ABC,"Toledo, Ohio"
,13.2The CW,
WTVH,5.1 CBS,"Syracuse, New York"
,5.2 Charge!,
,5.3 TBD,
WTVI,PBS,"Charlotte, North Carolina"
WTVJ,6.1NBC,"Miami, Florida"
,6.2 Cozi TV,
WTVM,ABC,"Columbus, Georgia"
WTVO,17.1ABC,"Rockford, Illinois"
,16.2MyNetworkTV,
WTVP,PBS,"Peoria, Illinois"
WTVQ-DT,36.1ABC,"Lexington, Kentucky"
,40.2MyNetworkTV,
WTVR-TV,CBS,"Richmond, Virginia"
WTVS,PBS,"Detroit, Michigan"
WTVT,Fox,"Tampa, Florida"
WTVW,7.1The CW,"Evansville, Indiana"
,28.2Bounce TV,
WTVX,34.1The CW,"Fort Pierce, Florida"
,48.2WWHB-CA,
,43.3WTCN-CA,
WTVY,4.1CBS,"Dothan, Alabama"
,4.2MyNetworkTV,
,4.3The CW,
,23.4WRGX-LD,
WTVZ-TV,33.1MyNetworkTV,"Norfolk, Virginia"
WTWC-TV,40.1NBC,"Tallahassee, Florida"
,40.3TCN,
WTWO,NBC,"Terre Haute, Indiana"
WTWV,Religious Independent,"Memphis, Tennessee"
WTXF-TV,42.1Fox,"Philadelphia, Pennsylvania"
,42.2Movies!,
,42.3MundoFox (WPSJ-CD 8.1 simulcast),
WTXL-TV,27.1ABC,"Tallahassee, Florida"
,27.2Bounce TV,
,27.3AccuWeather,
,,
WU[edit],,
,,
Call letters,Network(s),City and state
WUAB,MyNetworkTV,"Lorain, Ohio"
WUCF-TV,24.1PBS,"Orlando, Florida"
,23.2UCF-TV,
WUCW,The CW,"Minneapolis, Minnesota"
WUFT,PBS,"Gainesville, Florida"
WUHF,Fox,"Rochester, New York"
WUJA,58.1 Pura Palabra Television,"Caguas, Puerto Rico"
,58.2 Pura Palabra Television,
,58.3 Pura Palabra Television,
,58.4 Pura Palabra Television,
WUNC-TV,PBS,"Chapel Hill, North Carolina"
WUND-TV,PBS,"Columbia, North Carolina"
WUNE-TV,PBS,"Linville, North Carolina"
WUNF-TV,PBS,"Asheville, North Carolina"
WUNG-TV,PBS,"Concord, North Carolina"
WUNI,Univisión,"Worcester, Massachusetts"
WUNJ-TV,PBS,"Wilmington, North Carolina"
WUNK-TV,PBS,"Greenville, North Carolina"
WUNL-TV,PBS,"Winston-Salem, North Carolina"
WUNM-TV,PBS,"Jacksonville, North Carolina"
WUNP-TV,PBS,"Roanoke Rapids, North Carolina"
WUNU,PBS,"Lumberton, North Carolina"
WUNW,PBS,"Canton, North Carolina"
WUPA,The CW,"Atlanta, Georgia"
WUPL,MyNetworkTV,"Slidell, Louisiana"
WUPV,65.1The CW,"Ashland, Virginia"
,65.2Bounce TV,
WUPW,Fox,"Toledo, Ohio"
WUPX-TV,ION Television,"Morehead, Kentucky"
WUSA,CBS,"Washington, District of Columbia"
WUSI-TV,PBS,"Olney, Illinois"
WUTB,24.1MyNetworkTV,"Baltimore, Maryland"
,41.2Bounce TV,
WUTF-DT,UniMás,"Marlborough, Massachusetts"
WUTR,20.1 ABC,"Utica, New York"
,20.2 WPNY-LP,
,20.3 Grit,
,20.4 Bounce TV,
WUTV,Fox,"Buffalo, New York"
WUVC-DT,Univisión,"Fayetteville, North Carolina"
WUVG-DT,Univisión,"Athens, Georgia"
WUVN,18.1Univisión,"Hartford, Connecticut"
,47.3WUTH-CA,
WUVP-DT,65.1Univisión,"Vineland, New Jersey"
,65.2WFPA-CD UniMás,
,65.3GetTV,
,65.4Bounce TV,
WUXP-TV,MyNetworkTV,"Nashville, Tennessee"
,,
WV[edit],,
,,
Call letters,Network(s),City and state
WVAH-TV,Fox,"Charleston, West Virginia"
WVAN-TV,PBS,"Savannah, Georgia"
WVBT,Fox,"Virginia Beach, Virginia"
WVCY-TV,FamilyNet,"Milwaukee, Wisconsin"
WVEA-TV,Univisión,"Venice, Florida"
WVEC,13.1ABC,"Hampton, Virginia"
,13.3Me-TV,
WVEN-TV,Univisión,"Daytona Beach, Florida"
WVEO,44.1 Mega TV,"Aguadilla, Puerto Rico"
WVER,PBS,"Rutland, Vermont"
WVFX,10.1Fox,"Clarksburg, West Virginia"
,10.2The CW,
WVIA-TV,PBS,"Scranton, Pennsylvania"
WVII-TV,7.1ABC,"Bangor, Maine"
,22.2WFVX-LD,
WVIR-TV,29.1NBC,"Charlottesville, Virginia"
,29.3The CW,
WVIT,30.1NBC,"New Britain, Connecticut"
WVIZ,PBS,"Cleveland, Ohio"
WVLA-TV,NBC,"Baton Rouge, Louisiana"
WVLR,CTN,"Tazewell, Tennessee"
WVLT-TV,8.1CBS,"Knoxville, Tennessee"
,30.2MyNetworkTV,
WVNS-TV,59.1CBS,"Lewisburg, West Virginia"
,59.2Fox/MyNetworkTV,
WVNY,ABC,"Burlington, Vermont"
WVOZ-TV,48.1 Mega TV,"Ponce, Puerto Rico"
WVPB-TV,PBS,"Huntington, West Virginia"
WVPT,PBS,"Staunton, Virginia"
WVPX-TV,ION Television,"Akron, Ohio"
WVPY,PBS,"Front Royal, Virginia"
WVSN,Religious independent,"Humacao, Puerto Rico"
WVTA,PBS,"Windsor, Vermont"
WVTB,PBS,"St. Johnsbury, Vermont"
WVTM-TV,13.1NBC,"Birmingham, Alabama"
,13.2Me-TV,
WVTV,The CW,"Milwaukee, Wisconsin"
WVUA,This TV,"Tuscaloosa, Alabama"
WVUE-DT,Fox,"New Orleans, Louisiana"
WVUT,PBS,"Vincennes, Indiana"
WVVA,6.1NBC,"Bluefield, West Virginia"
,46.2The CW,
WVXF,CBS,"Charlotte Amalie, U.S. Virgin Islands"
,,
WW[edit],,
,,
Call letters,Network(s),City and state
WWAY,3.1ABC,"Wilmington, North Carolina"
,3.2RTV,
WWBT,12.1NBC,"Richmond, Virginia"
,12.2Me-TV,
WWCP-TV,Fox,"Johnstown, Pennsylvania"
WWCW,21.1The CW,"Lynchburg, Virginia"
,21.2Fox,
WWDP,EVINE Live,"Norwell, Massachusetts"
WWHO,The CW,"Chillicothe, Ohio"
WWJ-TV,CBS,"Detroit, Michigan"
WWJE-DT,Justice Network,"Derry, New Hampshire"
WWJX,Legacy TV,"Jackson, Mississippi"
WWL-TV,CBS,"New Orleans, Louisiana"
WWLP,NBC,"Springfield, Massachusetts"
WWMB,The CW,"Florence, South Carolina"
WWMT,3.1CBS,"Kalamazoo, Michigan"
,3.2The CW,
WWNY-TV,7.1CBS,"Carthage, New York"
,28.2WNYF-CD,
WWOR-TV,9.1MyNetworkTV,"Secaucus, New Jersey/New York City, New York"
,38.2Bounce TV,
WWPB,PBS,"Hagerstown, Maryland"
WWPX-TV,Ion,"Martinsburg, West Virginia"
WWRS-TV,TBN,"Mayville, Wisconsin"
WWSB,ABC,"Sarasota, Florida"
WWSI,62.1Telemundo,"Atlantic City, New Jersey"
,62.2TeleXitos,
WWTI,50.1ABC,"Watertown, New York"
,21.2The CW,
WWTO-TV,TBN,"LaSalle, Illinois"
WWTV,CBS,"Cadillac, Michigan"
WWTW,,"Senatobia, Mississippi"
WWUP-TV,10.1CBS,"Sault Ste. Marie, Michigan"
,10.2Fox,
,,
WX[edit],,
,,
Call letters,Network(s),City and state
WXBU,15.1The CW,"Lancaster, Pennsylvania"
WXCW,46.1The CW,"Naples, Florida"
,46.2MundoFox,
WXEL-TV,PBS,"Boynton Beach, Florida"
WXFT-DT,UniMás,"Aurora, Illinois"
WXGA-TV,PBS,"Waycross, Georgia"
WXIA-TV,NBC,"Atlanta, Georgia"
WXII-TV,NBC,"Winston-Salem, North Carolina"
WXIN,Fox,"Indianapolis, Indiana"
WXIX-TV,19.1Fox,"Newport, Kentucky/Cincinnati, Ohio"
WXLV-TV,45.1ABC,"Winston-Salem, North Carolina"
WXMI,Fox,"Grand Rapids, Michigan"
WXOW,19.1ABC,"La Crosse, Wisconsin"
,48.2The CW,
,48.3This TV,
WXPX-TV,ION Television,"Bradenton, Florida"
WXTV-DT,Univisión,"Paterson, New Jersey"
WXTX,54.1Fox,"Columbus, Georgia"
,49.2This TV,
WXXA-TV,23.1FOX,"Albany, New York"
WXXI-TV,PBS,"Rochester, New York"
WXXV-TV,25.1Fox,"Gulfport, Mississippi"
,25.2NBC,
WXYZ-TV,7.1ABC,"Detroit, Michigan"
,41.2LWN,
,,
WY[edit],,
,,
Call letters,Network(s),City and state
WYCC,PBS,"Chicago, Illinois"
WYCI,40.1RTV,"Saranac Lake, New York"
,40.3MyNetworkTV/Tuff TV,
WYCW,The CW,"Asheville, North Carolina"
WYDC,48.1Fox,"Corning, New York"
,39.2WJKP-LD,
WYDN,Daystar,"Worcester, Massachusetts"
WYDO,Fox,"Greenville, North Carolina"
WYES-TV,PBS,"New Orleans, Louisiana"
WYFF,NBC,"Greenville, South Carolina"
WYIN,PBS,"Gary, Indiana"
WYMT-TV,CBS,"Hazard, Kentucky"
WYOU,CBS,"Scranton, Pennsylvania"
WYOW,34.1ABC,"Eagle River, Wisconsin"
,34.2The CW,
,29.3This TV,
WYPX-TV,ion Television,"Amsterdam, New York"
WYTV,33.1ABC,"Youngstown, Ohio"
,36.2MyNetworkTV,
WYZZ-TV,Fox,"Bloomington, Illinois"
,,
WZ[edit],,
,,
Call letters,Network(s),City and state
WZDX,54.1Fox,"Huntsville, Alabama"
,41.3Me-TV,
WZME,Me-TV,"Bridgeport, Connecticut"
WZMQ,19.1Me-TV,"Marquette, Michigan"
,19.2MyNetworkTV/This TV,
WZPX-TV,ION Television,"Battle Creek, Michigan"
WZRB,ion Television,"Columbia, South Carolina"
WZTV,Fox,"Nashville, Tennessee"
WZVI,ABC,"Charlotte Amalie, Virgin Islands"
WZVN-TV,ABC,"Naples, Florida"
WZZM,ABC,"Grand Rapids, Michigan"
